city,timestamp,temperature,season
New York,2010-01-01,0.8940367970449645,winter
New York,2010-01-02,1.7801209493438075,winter
New York,2010-01-03,-1.090969523599785,winter
New York,2010-01-04,-4.611618758265474,winter
New York,2010-01-05,6.598560394635745,winter
New York,2010-01-06,0.7624716912382459,winter
New York,2010-01-07,1.889769666821718,winter
New York,2010-01-08,5.545969691998065,winter
New York,2010-01-09,-5.242223028101533,winter
New York,2010-01-10,-6.323605731364687,winter
New York,2010-01-11,-7.025415742065546,winter
New York,2010-01-12,-0.8247597209589453,winter
New York,2010-01-13,-0.29216935347659023,winter
New York,2010-01-14,0.38455578643169164,winter
New York,2010-01-15,-1.5249264494884325,winter
New York,2010-01-16,-8.308551940271904,winter
New York,2010-01-17,-3.8608503231158764,winter
New York,2010-01-18,-2.55484445193084,winter
New York,2010-01-19,5.91662589758762,winter
New York,2010-01-20,0.8749180840620399,winter
New York,2010-01-21,-9.650716114824188,winter
New York,2010-01-22,0.5525717527795443,winter
New York,2010-01-23,0.5333802083857772,winter
New York,2010-01-24,6.940335274287444,winter
New York,2010-01-25,12.75447797811715,winter
New York,2010-01-26,-3.2231926795297645,winter
New York,2010-01-27,-6.136768616256028,winter
New York,2010-01-28,-1.276934431424622,winter
New York,2010-01-29,9.147476788246811,winter
New York,2010-01-30,-1.5594028733253715,winter
New York,2010-01-31,-1.3701983310433399,winter
New York,2010-02-01,-2.1575717988860728,winter
New York,2010-02-02,-3.542161722949047,winter
New York,2010-02-03,-0.9123605730967492,winter
New York,2010-02-04,0.14526360958819834,winter
New York,2010-02-05,-0.886718431082687,winter
New York,2010-02-06,-0.8352338615200368,winter
New York,2010-02-07,9.81857680123101,winter
New York,2010-02-08,5.34755802890857,winter
New York,2010-02-09,-1.1153290835348466,winter
New York,2010-02-10,-3.1363098621955627,winter
New York,2010-02-11,-2.364692055326412,winter
New York,2010-02-12,-2.7986499335370234,winter
New York,2010-02-13,-2.5093733655946746,winter
New York,2010-02-14,-1.8959427289509154,winter
New York,2010-02-15,2.029423914652067,winter
New York,2010-02-16,-3.5333777674522397,winter
New York,2010-02-17,3.768252064225564,winter
New York,2010-02-18,0.5340455228583642,winter
New York,2010-02-19,-1.7580368392243924,winter
New York,2010-02-20,-1.647563755059208,winter
New York,2010-02-21,-0.819569598806772,winter
New York,2010-02-22,-3.5384192366497693,winter
New York,2010-02-23,1.023474978326225,winter
New York,2010-02-24,-5.171567867332982,winter
New York,2010-02-25,-0.07737923784424128,winter
New York,2010-02-26,-6.025630198126822,winter
New York,2010-02-27,4.508104445827073,winter
New York,2010-02-28,-1.8553926040797042,winter
New York,2010-03-01,6.413315414277138,spring
New York,2010-03-02,13.055612338474914,spring
New York,2010-03-03,5.531858011372924,spring
New York,2010-03-04,7.7072343133522185,spring
New York,2010-03-05,9.715651340753405,spring
New York,2010-03-06,5.369475885192289,spring
New York,2010-03-07,15.675611386514714,spring
New York,2010-03-08,13.401712309531039,spring
New York,2010-03-09,12.410301475626657,spring
New York,2010-03-10,8.29245492690023,spring
New York,2010-03-11,-0.23975994803717526,spring
